x_m,y_m
1.150000000000010569e+00,4.800000000000037570e-01
1.250000000000011546e+00,4.800000000000037570e-01
1.350000000000012079e+00,4.800000000000037570e-01
1.450000000000012834e+00,4.800000000000037570e-01
1.550000000000013589e+00,4.800000000000037570e-01
1.650000000000014122e+00,4.800000000000037570e-01
1.750000000000015099e+00,4.835294117647096490e-01
1.850000000000015632e+00,4.822171945701394513e-01
1.950000000000016165e+00,4.727601809954787848e-01
2.050000000000016698e+00,4.587782805429900801e-01
2.150000000000017675e+00,4.438914027149356567e-01
2.250000000000018652e+00,4.317194570135781673e-01
2.350000000000019185e+00,4.258823529411800424e-01
2.450000000000019718e+00,4.300000000000036016e-01
2.550000000000020250e+00,4.300000000000036016e-01
2.650000000000020783e+00,4.300000000000036016e-01
2.750000000000021760e+00,4.300000000000036016e-01
2.850000000000021849e+00,4.300000000000036016e-01
2.950000000000022826e+00,4.300000000000036016e-01
3.050000000000023803e+00,4.300000000000036016e-01
3.150000000000024336e+00,4.376470588235330528e-01
3.250000000000024869e+00,4.381447963800940704e-01
3.350000000000025846e+00,4.093665158371072588e-01
3.450000000000025935e+00,3.588687782805458082e-01
3.550000000000027356e+00,3.011312217194593854e-01
3.650000000000027889e+00,2.506334841628979904e-01
3.750000000000028422e+00,2.218552036199114563e-01
3.850000000000028955e+00,2.223529411764725849e-01
3.950000000000029932e+00,2.264705882352961441e-01
4.050000000000030909e+00,2.277828054298662308e-01
4.150000000000030553e+00,2.372398190045268973e-01
4.250000000000031974e+00,2.512217194570156575e-01
4.350000000000032507e+00,2.661085972850699699e-01
4.450000000000033040e+00,2.782805429864274593e-01
4.550000000000034461e+00,2.876470588235315873e-01
4.650000000000034994e+00,2.822171945701378859e-01
4.750000000000035527e+00,2.727601809954772194e-01
4.850000000000036060e+00,2.587782805429885147e-01
4.950000000000036593e+00,2.438914027149342023e-01
5.050000000000038014e+00,2.317194570135766574e-01
5.150000000000037659e+00,2.258823529411784770e-01
5.250000000000039080e+00,2.300000000000020361e-01
5.350000000000039613e+00,2.300000000000020361e-01
5.450000000000040146e+00,2.300000000000020361e-01
5.600000000000040501e+00,2.300000000000020361e-01
5.700000000000041922e+00,2.300000000000020361e-01
